Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000250	0.009861	0.001781	0.019066	0.018033	
2.000000	0.000250	0.001749	0.001770	0.024832	0.024590	
3.000000	0.000250	0.001655	0.001661	0.026730	0.026230	
4.000000	0.000250	0.001614	0.001648	0.031556	0.027869	
5.000000	0.000250	0.001609	0.001724	0.038359	0.029508	
6.000000	0.000250	0.001615	0.001727	0.041706	0.036066	
7.000000	0.000250	0.001634	0.001760	0.047096	0.050820	
8.000000	0.000250	0.001624	0.001734	0.047492	0.060656	
9.000000	0.000250	0.001620	0.001775	0.056580	0.057377	
10.000000	0.000250	0.001611	0.001827	0.074095	0.068852	
11.000000	0.000250	0.001619	0.002078	0.088218	0.057377	
12.000000	0.000250	0.001597	0.001710	0.096746	0.101639	
13.000000	0.000250	0.001588	0.001809	0.118977	0.122951	
14.000000	0.000250	0.001581	0.001749	0.133474	0.140984	
15.000000	0.000250	0.001575	0.001758	0.156864	0.173771	
16.000000	0.000250	0.001548	0.001737	0.173701	0.129508	
17.000000	0.000250	0.001550	0.001643	0.179159	0.229508	
18.000000	0.000250	0.001555	0.001585	0.194947	0.226230	
19.000000	0.000250	0.001519	0.001644	0.220420	0.288525	
20.000000	0.000250	0.001519	0.001522	0.239457	0.327869	
21.000000	0.000250	0.001505	0.001618	0.264819	0.367213	
22.000000	0.000250	0.001480	0.001715	0.299507	0.273771	
23.000000	0.000250	0.001487	0.001564	0.298694	0.295082	
24.000000	0.000250	0.001468	0.001650	0.320835	0.360656	
25.000000	0.000250	0.001457	0.001690	0.343231	0.370492	
26.000000	0.000250	0.001423	0.001765	0.362955	0.377049	
27.000000	0.000250	0.001422	0.002025	0.371539	0.439344	
28.000000	0.000250	0.001417	0.001578	0.388813	0.434426	
29.000000	0.000250	0.001392	0.001676	0.381761	0.383607	
30.000000	0.000250	0.001396	0.001714	0.400749	0.477049	
31.000000	0.000250	0.001378	0.001551	0.417452	0.488525	
32.000000	0.000250	0.001384	0.001467	0.420959	0.549180	
33.000000	0.000250	0.001362	0.001506	0.438835	0.552459	
34.000000	0.000250	0.001353	0.001487	0.453681	0.557377	
35.000000	0.000250	0.001338	0.001613	0.457108	0.550820	
36.000000	0.000250	0.001338	0.001543	0.472250	0.616393	
37.000000	0.000250	0.001330	0.001427	0.468908	0.588525	
38.000000	0.000250	0.001328	0.001472	0.464364	0.619672	
39.000000	0.000250	0.001305	0.001619	0.493911	0.570492	
40.000000	0.000250	0.001288	0.001475	0.503488	0.665574	
41.000000	0.000250	0.001280	0.001689	0.503621	0.626230	
42.000000	0.000250	0.001272	0.001392	0.507784	0.695082	
43.000000	0.000250	0.001261	0.001648	0.517660	0.677049	
